# Variant markers for scan.sh. Format: us_word|british_word
# Matched with word boundaries, case-insensitive. Stems cover the usual endings.
#
# Deliberately absent, because British English splits them by part of speech or
# keeps the US form for a technical sense, so the pair would flag correct
# writing: licence/license, practice/practise, program/programme.
color|colour
behavior|behaviour
favor|favour
labor|labour
neighbor|neighbour
honor|honour
center|centre
meter|metre
theater|theatre
fiber|fibre
defense|defence
offense|offence
pretense|pretence
catalog|catalogue
dialog|dialogue
analog|analogue
gray|grey
toward|towards
fulfill|fulfil
enroll|enrol
skillful|skilful
canceled|cancelled
modeling|modelling
labeled|labelled
traveled|travelled
signaling|signalling
aging|ageing
judgment|judgement
acknowledgment|acknowledgement
analyze|analyse
paralyze|paralyse
